onset	duration	sample	value	trial_type	HED
147.264	n/a	36816	BSL	baseline_block	Event, Experiment-structure, Description/Start of the baseline time-block
154.272	n/a	38568	bsl_dev	baseline	Event, Experiment-structure, Description/Baseline driving period with a road deviation
169.296	n/a	42324	EXP	block_start	Event, Experiment-structure, Description/Start of the experimental time-block
169.3	n/a	42325	crash_start	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
176.304	n/a	44076	tire_pop	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
179.808	n/a	44952	no_crash_start	no_collision	Event, Experiment-structure, Description/Start of a no-collision driving-scene trial
186.816	n/a	46704	no_tire_pop	no_collision	Event, Sensory-event, Visual-presentation, Virtual-world, Description/Time-matched control point of a no-collision driving-scene trial
192.816	n/a	48204	crash_start	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
199.872	n/a	49968	tire_pop	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
203.328	n/a	50832	no_crash_start	no_collision	Event, Experiment-structure, Description/Start of a no-collision driving-scene trial
210.384	n/a	52596	no_tire_pop	no_collision	Event, Sensory-event, Visual-presentation, Virtual-world, Description/Time-matched control point of a no-collision driving-scene trial
216.384	n/a	54096	crash_start	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
223.392	n/a	55848	tire_pop	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
226.896	n/a	56724	crash_start	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
233.904	n/a	58476	tire_pop	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
237.408	n/a	59352	no_crash_start	no_collision	Event, Experiment-structure, Description/Start of a no-collision driving-scene trial
244.416	n/a	61104	no_tire_pop	no_collision	Event, Sensory-event, Visual-presentation, Virtual-world, Description/Time-matched control point of a no-collision driving-scene trial
250.464	n/a	62616	crash_start	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
257.472	n/a	64368	tire_pop	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
260.976	n/a	65244	crash_start	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
267.984	n/a	66996	tire_pop	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
271.488	n/a	67872	no_crash_start	no_collision	Event, Experiment-structure, Description/Start of a no-collision driving-scene trial
278.496	n/a	69624	no_tire_pop	no_collision	Event, Sensory-event, Visual-presentation, Virtual-world, Description/Time-matched control point of a no-collision driving-scene trial
284.736	n/a	71184	no_crash_start	no_collision	Event, Experiment-structure, Description/Start of a no-collision driving-scene trial
291.744	n/a	72936	no_tire_pop	no_collision	Event, Sensory-event, Visual-presentation, Virtual-world, Description/Time-matched control point of a no-collision driving-scene trial
297.744	n/a	74436	crash_start	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
304.752	n/a	76188	tire_pop	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
308.256	n/a	77064	no_crash_start	no_collision	Event, Experiment-structure, Description/Start of a no-collision driving-scene trial
315.264	n/a	78816	no_tire_pop	no_collision	Event, Sensory-event, Visual-presentation, Virtual-world, Description/Time-matched control point of a no-collision driving-scene trial
321.264	n/a	80316	no_crash_start	no_collision	Event, Experiment-structure, Description/Start of a no-collision driving-scene trial
328.316	n/a	82079	no_tire_pop	no_collision	Event, Sensory-event, Visual-presentation, Virtual-world, Description/Time-matched control point of a no-collision driving-scene trial
334.32	n/a	83580	no_crash_start	no_collision	Event, Experiment-structure, Description/Start of a no-collision driving-scene trial
341.328	n/a	85332	no_tire_pop	no_collision	Event, Sensory-event, Visual-presentation, Virtual-world, Description/Time-matched control point of a no-collision driving-scene trial
347.328	n/a	86832	no_crash_start	no_collision	Event, Experiment-structure, Description/Start of a no-collision driving-scene trial
354.336	n/a	88584	no_tire_pop	no_collision	Event, Sensory-event, Visual-presentation, Virtual-world, Description/Time-matched control point of a no-collision driving-scene trial
