onset	duration	sample	value	trial_type	HED
103.872	n/a	25968	BSL	baseline_block	Event, Experiment-structure, Description/Start of the baseline time-block
110.88	n/a	27720	bsl_dev	baseline	Event, Experiment-structure, Description/Baseline driving period with a road deviation
125.904	n/a	31476	EXP	block_start	Event, Experiment-structure, Description/Start of the experimental time-block
125.908	n/a	31477	no_crash_start	no_collision	Event, Experiment-structure, Description/Start of a no-collision driving-scene trial
132.912	n/a	33228	no_tire_pop	no_collision	Event, Sensory-event, Visual-presentation, Virtual-world, Description/Time-matched control point of a no-collision driving-scene trial
138.912	n/a	34728	no_crash_start	no_collision	Event, Experiment-structure, Description/Start of a no-collision driving-scene trial
145.92	n/a	36480	no_tire_pop	no_collision	Event, Sensory-event, Visual-presentation, Virtual-world, Description/Time-matched control point of a no-collision driving-scene trial
151.92	n/a	37980	no_crash_start	no_collision	Event, Experiment-structure, Description/Start of a no-collision driving-scene trial
158.976	n/a	39744	no_tire_pop	no_collision	Event, Sensory-event, Visual-presentation, Virtual-world, Description/Time-matched control point of a no-collision driving-scene trial
164.976	n/a	41244	crash_start	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
171.984	n/a	42996	tire_pop	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
175.488	n/a	43872	no_crash_start	no_collision	Event, Experiment-structure, Description/Start of a no-collision driving-scene trial
182.496	n/a	45624	no_tire_pop	no_collision	Event, Sensory-event, Visual-presentation, Virtual-world, Description/Time-matched control point of a no-collision driving-scene trial
188.496	n/a	47124	crash_start	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
195.504	n/a	48876	tire_pop	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
199.008	n/a	49752	crash_start	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
