onset	duration	sample	value	trial_type	HED
29.616	n/a	7404	BSL	baseline_block	Event, Experiment-structure, Description/Start of the baseline time-block
36.624	n/a	9156	bsl_dev	baseline	Event, Experiment-structure, Description/Baseline driving period with a road deviation
51.648	n/a	12912	EXP	block_start	Event, Experiment-structure, Description/Start of the experimental time-block
51.652	n/a	12913	crash_start	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
58.656	n/a	14664	tire_pop	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
62.16	n/a	15540	no_crash_start	no_collision	Event, Experiment-structure, Description/Start of a no-collision driving-scene trial
69.168	n/a	17292	no_tire_pop	no_collision	Event, Sensory-event, Visual-presentation, Virtual-world, Description/Time-matched control point of a no-collision driving-scene trial
75.168	n/a	18792	no_crash_start	no_collision	Event, Experiment-structure, Description/Start of a no-collision driving-scene trial
82.176	n/a	20544	no_tire_pop	no_collision	Event, Sensory-event, Visual-presentation, Virtual-world, Description/Time-matched control point of a no-collision driving-scene trial
88.176	n/a	22044	crash_start	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
95.232	n/a	23808	tire_pop	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
98.688	n/a	24672	crash_start	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
100.464	n/a	25116	tire_pop	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
103.296	n/a	25824	no_crash_start	no_collision	Event, Experiment-structure, Description/Start of a no-collision driving-scene trial
110.352	n/a	27588	no_tire_pop	no_collision	Event, Sensory-event, Visual-presentation, Virtual-world, Description/Time-matched control point of a no-collision driving-scene trial
116.352	n/a	29088	no_crash_start	no_collision	Event, Experiment-structure, Description/Start of a no-collision driving-scene trial
123.36	n/a	30840	no_tire_pop	no_collision	Event, Sensory-event, Visual-presentation, Virtual-world, Description/Time-matched control point of a no-collision driving-scene trial
129.36	n/a	32340	crash_start	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
136.416	n/a	34104	tire_pop	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
139.872	n/a	34968	crash_start	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
146.928	n/a	36732	tire_pop	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
150.384	n/a	37596	crash_start	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
157.416	n/a	39354	tire_pop	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
160.896	n/a	40224	no_crash_start	no_collision	Event, Experiment-structure, Description/Start of a no-collision driving-scene trial
167.952	n/a	41988	no_tire_pop	no_collision	Event, Sensory-event, Visual-presentation, Virtual-world, Description/Time-matched control point of a no-collision driving-scene trial
173.952	n/a	43488	no_crash_start	no_collision	Event, Experiment-structure, Description/Start of a no-collision driving-scene trial
180.96	n/a	45240	no_tire_pop	no_collision	Event, Sensory-event, Visual-presentation, Virtual-world, Description/Time-matched control point of a no-collision driving-scene trial
186.96	n/a	46740	crash_start	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
193.968	n/a	48492	tire_pop	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
197.472	n/a	49368	crash_start	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
204.48	n/a	51120	tire_pop	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
207.984	n/a	51996	crash_start	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
214.992	n/a	53748	tire_pop	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
