onset	duration	sample	value	trial_type	HED
227.904	n/a	56976	BSL	baseline_block	Event, Experiment-structure, Description/Start of the baseline time-block
234.912	n/a	58728	bsl_dev	baseline	Event, Experiment-structure, Description/Baseline driving period with a road deviation
249.936	n/a	62484	EXP	block_start	Event, Experiment-structure, Description/Start of the experimental time-block
249.94	n/a	62485	no_crash_start	no_collision	Event, Experiment-structure, Description/Start of a no-collision driving-scene trial
256.944	n/a	64236	no_tire_pop	no_collision	Event, Sensory-event, Visual-presentation, Virtual-world, Description/Time-matched control point of a no-collision driving-scene trial
262.896	n/a	65724	no_crash_start	no_collision	Event, Experiment-structure, Description/Start of a no-collision driving-scene trial
269.952	n/a	67488	no_tire_pop	no_collision	Event, Sensory-event, Visual-presentation, Virtual-world, Description/Time-matched control point of a no-collision driving-scene trial
275.952	n/a	68988	crash_start	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
282.96	n/a	70740	tire_pop	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
286.464	n/a	71616	no_crash_start	no_collision	Event, Experiment-structure, Description/Start of a no-collision driving-scene trial
293.472	n/a	73368	no_tire_pop	no_collision	Event, Sensory-event, Visual-presentation, Virtual-world, Description/Time-matched control point of a no-collision driving-scene trial
299.472	n/a	74868	no_crash_start	no_collision	Event, Experiment-structure, Description/Start of a no-collision driving-scene trial
306.48	n/a	76620	no_tire_pop	no_collision	Event, Sensory-event, Visual-presentation, Virtual-world, Description/Time-matched control point of a no-collision driving-scene trial
312.48	n/a	78120	no_crash_start	no_collision	Event, Experiment-structure, Description/Start of a no-collision driving-scene trial
319.536	n/a	79884	no_tire_pop	no_collision	Event, Sensory-event, Visual-presentation, Virtual-world, Description/Time-matched control point of a no-collision driving-scene trial
325.536	n/a	81384	no_crash_start	no_collision	Event, Experiment-structure, Description/Start of a no-collision driving-scene trial
332.544	n/a	83136	no_tire_pop	no_collision	Event, Sensory-event, Visual-presentation, Virtual-world, Description/Time-matched control point of a no-collision driving-scene trial
338.544	n/a	84636	no_crash_start	no_collision	Event, Experiment-structure, Description/Start of a no-collision driving-scene trial
345.6	n/a	86400	no_tire_pop	no_collision	Event, Sensory-event, Visual-presentation, Virtual-world, Description/Time-matched control point of a no-collision driving-scene trial
351.6	n/a	87900	no_crash_start	no_collision	Event, Experiment-structure, Description/Start of a no-collision driving-scene trial
358.608	n/a	89652	no_tire_pop	no_collision	Event, Sensory-event, Visual-presentation, Virtual-world, Description/Time-matched control point of a no-collision driving-scene trial
364.608	n/a	91152	no_crash_start	no_collision	Event, Experiment-structure, Description/Start of a no-collision driving-scene trial
371.616	n/a	92904	no_tire_pop	no_collision	Event, Sensory-event, Visual-presentation, Virtual-world, Description/Time-matched control point of a no-collision driving-scene trial
377.664	n/a	94416	no_crash_start	no_collision	Event, Experiment-structure, Description/Start of a no-collision driving-scene trial
384.672	n/a	96168	no_tire_pop	no_collision	Event, Sensory-event, Visual-presentation, Virtual-world, Description/Time-matched control point of a no-collision driving-scene trial
