onset	duration	sample	value	trial_type	HED
284.256	n/a	71064	BSL	baseline_block	Event, Experiment-structure, Description/Start of the baseline time-block
291.264	n/a	72816	bsl_dev	baseline	Event, Experiment-structure, Description/Baseline driving period with a road deviation
306.24	n/a	76560	EXP	block_start	Event, Experiment-structure, Description/Start of the experimental time-block
306.244	n/a	76561	no_crash_start	no_collision	Event, Experiment-structure, Description/Start of a no-collision driving-scene trial
313.248	n/a	78312	no_tire_pop	no_collision	Event, Sensory-event, Visual-presentation, Virtual-world, Description/Time-matched control point of a no-collision driving-scene trial
319.248	n/a	79812	crash_start	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
326.304	n/a	81576	tire_pop	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
329.76	n/a	82440	crash_start	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
336.768	n/a	84192	tire_pop	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
340.272	n/a	85068	no_crash_start	no_collision	Event, Experiment-structure, Description/Start of a no-collision driving-scene trial
347.28	n/a	86820	no_tire_pop	no_collision	Event, Sensory-event, Visual-presentation, Virtual-world, Description/Time-matched control point of a no-collision driving-scene trial
353.28	n/a	88320	no_crash_start	no_collision	Event, Experiment-structure, Description/Start of a no-collision driving-scene trial
360.336	n/a	90084	no_tire_pop	no_collision	Event, Sensory-event, Visual-presentation, Virtual-world, Description/Time-matched control point of a no-collision driving-scene trial
366.336	n/a	91584	no_crash_start	no_collision	Event, Experiment-structure, Description/Start of a no-collision driving-scene trial
373.344	n/a	93336	no_tire_pop	no_collision	Event, Sensory-event, Visual-presentation, Virtual-world, Description/Time-matched control point of a no-collision driving-scene trial
379.344	n/a	94836	crash_start	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
386.4	n/a	96600	tire_pop	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
389.856	n/a	97464	no_crash_start	no_collision	Event, Experiment-structure, Description/Start of a no-collision driving-scene trial
396.912	n/a	99228	no_tire_pop	no_collision	Event, Sensory-event, Visual-presentation, Virtual-world, Description/Time-matched control point of a no-collision driving-scene trial
402.864	n/a	100716	no_crash_start	no_collision	Event, Experiment-structure, Description/Start of a no-collision driving-scene trial
409.92	n/a	102480	no_tire_pop	no_collision	Event, Sensory-event, Visual-presentation, Virtual-world, Description/Time-matched control point of a no-collision driving-scene trial
415.92	n/a	103980	crash_start	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
422.928	n/a	105732	tire_pop	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
426.432	n/a	106608	crash_start	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
433.44	n/a	108360	tire_pop	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
436.896	n/a	109224	crash_start	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
443.952	n/a	110988	tire_pop	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
447.456	n/a	111864	no_crash_start	no_collision	Event, Experiment-structure, Description/Start of a no-collision driving-scene trial
454.464	n/a	113616	no_tire_pop	no_collision	Event, Sensory-event, Visual-presentation, Virtual-world, Description/Time-matched control point of a no-collision driving-scene trial
460.464	n/a	115116	crash_start	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
467.472	n/a	116868	tire_pop	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
471.024	n/a	117756	no_crash_start	no_collision	Event, Experiment-structure, Description/Start of a no-collision driving-scene trial
478.128	n/a	119532	no_tire_pop	no_collision	Event, Sensory-event, Visual-presentation, Virtual-world, Description/Time-matched control point of a no-collision driving-scene trial
484.128	n/a	121032	no_crash_start	no_collision	Event, Experiment-structure, Description/Start of a no-collision driving-scene trial
