onset	duration	sample	value	trial_type	HED
309.888	n/a	77472	BSL	baseline_block	Event, Experiment-structure, Description/Start of the baseline time-block
316.896	n/a	79224	bsl_dev	baseline	Event, Experiment-structure, Description/Baseline driving period with a road deviation
331.92	n/a	82980	EXP	block_start	Event, Experiment-structure, Description/Start of the experimental time-block
331.924	n/a	82981	crash_start	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
338.928	n/a	84732	tire_pop	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
342.432	n/a	85608	no_crash_start	no_collision	Event, Experiment-structure, Description/Start of a no-collision driving-scene trial
349.44	n/a	87360	no_tire_pop	no_collision	Event, Sensory-event, Visual-presentation, Virtual-world, Description/Time-matched control point of a no-collision driving-scene trial
355.44	n/a	88860	crash_start	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
362.496	n/a	90624	tire_pop	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
366	n/a	91500	crash_start	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
373.008	n/a	93252	tire_pop	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
376.512	n/a	94128	no_crash_start	no_collision	Event, Experiment-structure, Description/Start of a no-collision driving-scene trial
383.52	n/a	95880	no_tire_pop	no_collision	Event, Sensory-event, Visual-presentation, Virtual-world, Description/Time-matched control point of a no-collision driving-scene trial
389.52	n/a	97380	no_crash_start	no_collision	Event, Experiment-structure, Description/Start of a no-collision driving-scene trial
396.528	n/a	99132	no_tire_pop	no_collision	Event, Sensory-event, Visual-presentation, Virtual-world, Description/Time-matched control point of a no-collision driving-scene trial
402.528	n/a	100632	crash_start	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
409.536	n/a	102384	tire_pop	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
