onset	duration	sample	value	trial_type	HED
332.832	n/a	83208	BSL	baseline_block	Event, Experiment-structure, Description/Start of the baseline time-block
339.84	n/a	84960	bsl_dev	baseline	Event, Experiment-structure, Description/Baseline driving period with a road deviation
354.912	n/a	88728	EXP	block_start	Event, Experiment-structure, Description/Start of the experimental time-block
354.916	n/a	88729	no_crash_start	no_collision	Event, Experiment-structure, Description/Start of a no-collision driving-scene trial
361.92	n/a	90480	no_tire_pop	no_collision	Event, Sensory-event, Visual-presentation, Virtual-world, Description/Time-matched control point of a no-collision driving-scene trial
367.92	n/a	91980	crash_start	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
374.928	n/a	93732	tire_pop	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
378.432	n/a	94608	crash_start	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
385.44	n/a	96360	tire_pop	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
388.944	n/a	97236	crash_start	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
395.952	n/a	98988	tire_pop	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
399.456	n/a	99864	crash_start	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
406.512	n/a	101628	tire_pop	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
409.968	n/a	102492	crash_start	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
416.976	n/a	104244	tire_pop	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
420.48	n/a	105120	crash_start	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
427.488	n/a	106872	tire_pop	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
430.944	n/a	107736	no_crash_start	no_collision	Event, Experiment-structure, Description/Start of a no-collision driving-scene trial
438	n/a	109500	no_tire_pop	no_collision	Event, Sensory-event, Visual-presentation, Virtual-world, Description/Time-matched control point of a no-collision driving-scene trial
444	n/a	111000	crash_start	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
451.008	n/a	112752	tire_pop	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
454.512	n/a	113628	no_crash_start	no_collision	Event, Experiment-structure, Description/Start of a no-collision driving-scene trial
461.52	n/a	115380	no_tire_pop	no_collision	Event, Sensory-event, Visual-presentation, Virtual-world, Description/Time-matched control point of a no-collision driving-scene trial
467.52	n/a	116880	crash_start	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
474.528	n/a	118632	tire_pop	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
478.032	n/a	119508	no_crash_start	no_collision	Event, Experiment-structure, Description/Start of a no-collision driving-scene trial
485.136	n/a	121284	no_tire_pop	no_collision	Event, Sensory-event, Visual-presentation, Virtual-world, Description/Time-matched control point of a no-collision driving-scene trial
491.136	n/a	122784	no_crash_start	no_collision	Event, Experiment-structure, Description/Start of a no-collision driving-scene trial
498.144	n/a	124536	no_tire_pop	no_collision	Event, Sensory-event, Visual-presentation, Virtual-world, Description/Time-matched control point of a no-collision driving-scene trial
504.144	n/a	126036	crash_start	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
511.2	n/a	127800	tire_pop	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
514.656	n/a	128664	crash_start	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
521.712	n/a	130428	tire_pop	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
525.168	n/a	131292	no_crash_start	no_collision	Event, Experiment-structure, Description/Start of a no-collision driving-scene trial
532.224	n/a	133056	no_tire_pop	no_collision	Event, Sensory-event, Visual-presentation, Virtual-world, Description/Time-matched control point of a no-collision driving-scene trial
538.224	n/a	134556	no_crash_start	no_collision	Event, Experiment-structure, Description/Start of a no-collision driving-scene trial
545.232	n/a	136308	no_tire_pop	no_collision	Event, Sensory-event, Visual-presentation, Virtual-world, Description/Time-matched control point of a no-collision driving-scene trial
551.232	n/a	137808	no_crash_start	no_collision	Event, Experiment-structure, Description/Start of a no-collision driving-scene trial
558.24	n/a	139560	no_tire_pop	no_collision	Event, Sensory-event, Visual-presentation, Virtual-world, Description/Time-matched control point of a no-collision driving-scene trial
564.24	n/a	141060	no_crash_start	no_collision	Event, Experiment-structure, Description/Start of a no-collision driving-scene trial
571.248	n/a	142812	no_tire_pop	no_collision	Event, Sensory-event, Visual-presentation, Virtual-world, Description/Time-matched control point of a no-collision driving-scene trial
577.296	n/a	144324	no_crash_start	no_collision	Event, Experiment-structure, Description/Start of a no-collision driving-scene trial
584.304	n/a	146076	no_tire_pop	no_collision	Event, Sensory-event, Visual-presentation, Virtual-world, Description/Time-matched control point of a no-collision driving-scene trial
590.304	n/a	147576	crash_start	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
597.312	n/a	149328	tire_pop	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
600.816	n/a	150204	no_crash_start	no_collision	Event, Experiment-structure, Description/Start of a no-collision driving-scene trial
607.824	n/a	151956	no_tire_pop	no_collision	Event, Sensory-event, Visual-presentation, Virtual-world, Description/Time-matched control point of a no-collision driving-scene trial
613.824	n/a	153456	crash_start	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
