onset	duration	sample	value	trial_type	HED
200.448	n/a	50112	BSL	baseline_block	Event, Experiment-structure, Description/Start of the baseline time-block
207.456	n/a	51864	bsl_dev	baseline	Event, Experiment-structure, Description/Baseline driving period with a road deviation
222.48	n/a	55620	EXP	block_start	Event, Experiment-structure, Description/Start of the experimental time-block
222.484	n/a	55621	no_crash_start	no_collision	Event, Experiment-structure, Description/Start of a no-collision driving-scene trial
229.488	n/a	57372	no_tire_pop	no_collision	Event, Sensory-event, Visual-presentation, Virtual-world, Description/Time-matched control point of a no-collision driving-scene trial
235.488	n/a	58872	crash_start	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
242.496	n/a	60624	tire_pop	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
246	n/a	61500	crash_start	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
253.008	n/a	63252	tire_pop	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
256.512	n/a	64128	crash_start	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
263.568	n/a	65892	tire_pop	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
267.024	n/a	66756	no_crash_start	no_collision	Event, Experiment-structure, Description/Start of a no-collision driving-scene trial
274.032	n/a	68508	no_tire_pop	no_collision	Event, Sensory-event, Visual-presentation, Virtual-world, Description/Time-matched control point of a no-collision driving-scene trial
280.08	n/a	70020	no_crash_start	no_collision	Event, Experiment-structure, Description/Start of a no-collision driving-scene trial
287.088	n/a	71772	no_tire_pop	no_collision	Event, Sensory-event, Visual-presentation, Virtual-world, Description/Time-matched control point of a no-collision driving-scene trial
293.088	n/a	73272	no_crash_start	no_collision	Event, Experiment-structure, Description/Start of a no-collision driving-scene trial
300.096	n/a	75024	no_tire_pop	no_collision	Event, Sensory-event, Visual-presentation, Virtual-world, Description/Time-matched control point of a no-collision driving-scene trial
306.096	n/a	76524	no_crash_start	no_collision	Event, Experiment-structure, Description/Start of a no-collision driving-scene trial
313.14	n/a	78285	no_tire_pop	no_collision	Event, Sensory-event, Visual-presentation, Virtual-world, Description/Time-matched control point of a no-collision driving-scene trial
319.152	n/a	79788	crash_start	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
326.16	n/a	81540	tire_pop	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
329.664	n/a	82416	crash_start	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
336.672	n/a	84168	tire_pop	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
340.176	n/a	85044	crash_start	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
347.232	n/a	86808	tire_pop	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
350.688	n/a	87672	crash_start	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
357.696	n/a	89424	tire_pop	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
361.2	n/a	90300	no_crash_start	no_collision	Event, Experiment-structure, Description/Start of a no-collision driving-scene trial
368.256	n/a	92064	no_tire_pop	no_collision	Event, Sensory-event, Visual-presentation, Virtual-world, Description/Time-matched control point of a no-collision driving-scene trial
374.256	n/a	93564	no_crash_start	no_collision	Event, Experiment-structure, Description/Start of a no-collision driving-scene trial
381.264	n/a	95316	no_tire_pop	no_collision	Event, Sensory-event, Visual-presentation, Virtual-world, Description/Time-matched control point of a no-collision driving-scene trial
387.264	n/a	96816	no_crash_start	no_collision	Event, Experiment-structure, Description/Start of a no-collision driving-scene trial
394.32	n/a	98580	no_tire_pop	no_collision	Event, Sensory-event, Visual-presentation, Virtual-world, Description/Time-matched control point of a no-collision driving-scene trial
400.32	n/a	100080	crash_start	collision	Event, Sensory-event, Environmental-sound, Description/Tire-blowout-sound, Visual-presentation, Virtual-world, Description/Collision-driving-scene
